LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_TEL_NO
80223,[충남 천안] 히어로파크 1월 (1/1~1/31),041-903-2233
80224,[서울 송파] 롯데월드 어드벤처 종합이용권 1월,1661-1063
80225,[서울 송파] 롯데월드 어드벤처 회전목마 인생사진 PKG 1월,02-1661-2000
80227,[서울 송파] 롯데월드 아쿠아리움 1월,1661-1063
80228,[서울 송파] 롯데월드 아쿠아리움+서울스카이 PKG 1월,1661-1063
80229,[경기 하남] 아쿠아필드 워터파크 하남점 (01/01~02/28),031-8072-8800
80230,[대구 달서] 이월드 연간회원권 1월 특가,053-620-0001
80231,[대구 달서] 이월드 겨울 시즌패스(3개월권),053-620-0001
80232,[경북 울릉] 울릉크루즈,1533-3370
80233,[서울 송파] 롯데월드 아이스링크,1661-2000
80236,[전국] 챔피언 키즈카페 10개점 (-2/28),031-5173-4448
80237,[경기 안성] 아쿠아필드 안성점 찜질스파(01/01~02/28),031-8092-1900
80238,[경기 하남] 아쿠아필드 찜질스파 하남점(01/01~02/28),031-8072-8800
80239,[경기 이천] 지산프리미엄 몽땅패키지,010-4789-6034
80240,[강원 속초] 설악워터피아 나이트 스파 (~ 02/07),033-630-5800
80241,[고양] 아쿠아필드 고양 루프탑풀 (~02/28),031-5173-4500
80242,[경기 고양] 아쿠아필드 찜질스파 고양점(01/01~02/28),031-5173-4500
80243,[강원 원주] 오크밸리 21/22 스키 리프트권/세트권 특가,02-413-0045
80244,[남산] N서울타워 연간멤버쉽 (유효기간~2023/1/31),02-3455-9277
80245,[남산] N서울타워 연간멤버쉽 (유효기간~2023/1/31),02-3455-9277
80246,[부산 해운대] 블루라인파크,051-701-5548
80247,[부산] 센텀 스파랜드 주중권 (~02/28),1668-2850
80248,[경기 안성] 아쿠아필드 안성점 워터파크(01/01~02/28),031-8092-1900
80249,[부산] 센텀 스파랜드 주말권 (~02/28),1668-2850
80306,[대구] 네이처파크 스윗윈터페스티벌(1/3~),1688-8511
80307,[경기 과천] 서울랜드 AFTER2 파크이용권 1월,02-509-6000
80310,[경기 과천] 서울랜드 AFTER4 파크이용권 1월,02-509-6000
80311,[전남 여수] 여수 눈썰매장+해상케이블카 PKG,02-413-0045
80312,[경기 과천] 서울랜드 어린이 종일이용권 1월,02-509-6000
80313,[강원 평창] 용평리조트 발왕산관광케이블카 스카이워크 (~04/30),02-6925-3193
80314,[경기 과천] 서울랜드 종일 파크 이용권 1월,02-509-6000
80317,[강원 평창] 알펜시아 리프트 + 장비렌탈(야간권),033-339-0318
80318,[강원 양양] 오션플레이 양양 오프시즌 종일권,1588-4888
80319,[대구 달서] 엘리바덴 신월성점 찜질스파 대인권,053-288-5000
80320,[대구 달서] 키즈파크 엘리몽 어린이 이용권,053-288-5050
80321,[경기 남양주] 겨울에도 즐기는 온수서핑 실내서핑장 웨이브서프 어린이전용 할인특가,031-594-1511
80322,"[경북 경주] 365일 힐링파크, 경주엑스포대공원 이용권",054-748-3011
80323,[경북 경주] 경주월드 1월,1644-1026
80324,[서울/부산] 키자니아 어린이 체험테마파크 1월 상시,1544-5110
80325,[경기 수원] 광교 아쿠아플라넷 1월,1661-1063
80326,[경기 일산] 일산 아쿠아플라넷+로라비트PKG,
80327,[경기 파주] 쇠꼴마을 눈썰매&눈꽃축제,010-4133-3680
80328,[경남 김해] 가야테마파크 눈썰매장+어드벤처/체험(장갑증정),055-340-7900
80329,[인천] 파라다이스시티 씨메르 아쿠아스파권(1/1~2/2),032-729-7700
80330,[경남 김해] 가야테마파크 눈썰매장+익스트림(장갑증정),055-340-7900
80331,[인천]  파라다이스시티 씨메르 찜질권(1/1~1/31),032-729-7700
80332,[경남 김해] 가야테마파크 눈썰매장+공연(장갑증정),055-340-7900
80333,[경기 포천] 어메이징파크(~3월),031-532-1881
80334,[서울 금천] 쥬라리움 금천점 (~2/28),070-8838-7542
80335,[경기 포천] 어메이징파크+코버월드pkg(~3월),031-532-1881
80336,[서울/부산] 특가★키자니아 The BLACK/BLUE 멤버십,1544-5110
80337,[경기 화성] 쥬라리움 동탄점 (~2/28),070-8882-7542
80338,[울산 중구] 쥬라리움 울산점 (~2/28),070-8808-7542
80339,[인천 서구] 쥬라리움 청라점 (~2/28),070-8888-7542
80340,[경기 가평] 캠프통 포레스트 C그라운드 이용권,031-584-6000
80341,[경기 과천] 서울랜드 연간권 기간한정 판매,02-509-6000
80342,[강원 홍천] 비발디파크 21/22시즌 F-PASS(2월),1588-4888
80343,[경기 파주] 쥬라리움 파주점 (~2/28),070-8860-7542
80344,[경기 파주] 쥬라리움 하남점 (~2/28),070-4216-7542
80345,[제주] 제주민속촌 설몽아일랜드,064-787-4501
80346,[제주] 로봇플래닛,064-792-6991
80347,[제주] 오늘은 카트레이싱,064-787-9990
80348,[강원 횡성] 웰리힐리파크 리프트권 야놀자 단독특가★,1544-8833
80349,[오늘은 공룡DAY] 아산 공룡월드+세종 공룡월드 패키지,044-864-0935
80350,[서울 동대문] 호텔 스카이파크 스카이 시티 레이싱,02-6952-8991
80351,[대구] 엑스코 상상체험 키즈월드 특가★,070-4801-4182
80352,[전남 여수] 여수 눈썰매장+아이뮤지엄 PKG,02-413-0045
80508,[경남 통영] 통영케이블카 패키지이용권,1544-3303
80643,[강원 원주] 오크밸리 21/22 눈썰매장 시즌권,02-413-0045
80644,[충남 부여] 부여 롯데 아쿠아가든 (~2/28),041-939-1135
80645,[부산] 벡스코 상상체험 키즈월드 특가★,070-4801-6034
80647,[카모아] 내륙 렌터카 할인권,1544-5344
80648,[전남 여수] 여수라마다 해상짚트랙+아쿠아플라넷 여수,061-644-9500
80649,[전남 여수] 여수 유월드+여수아쿠아플라넷 입장권,061-810-6000
80650,[강원 속초] 강원투어패스 속초 1+1(~3/19),070-8845-9990
80651,[부산 해운대] 부산 엑스 더 스카이(엘시티전망대),051-731-0098
80652,[경남 통영] 디피랑 + 더 카트인 통영 PKG,055-648-9861
80653,[경기 수원] 위더스D파크(~2/28),031-237-5551
80655,[경기 용인] 에버랜드 오후이용권 ★특가★(~2/28),031-320-5000
80658,[제주] 세이펙스 여행짐 당일배송,1533-2280
80659,[경기 과천] ★1월 한정★ 서울랜드 AFTER4 파크이용권,02-509-6000
80660,[테스트] N서울타워 + 한국민속촌,031-288-0000
80661,[강원 고성] 강원투어패스 고성1+1(~3/19),070-8845-9990
80662,[강원 강릉] 강원투어패스 강릉1+1(~3/19),070-8845-9990
80663,[강원 동해] 강원투어패스 동해1+1(~3/19),070-8845-9990
80664,[경주] 엑스포대공원+정글의법칙 미디어 아트 패키지,054-748-3011
80665,[경주] 경주 동궁원+엑스포대공원 랜드마크 패키지,054-779-8725
80666,[경주] 엑스포대공원+키덜트뮤지엄 주간 PKG,054-744-7997
80667,[경주] 얼음나라 국민힐링파크(청소년수련원) 눈썰매&빙어축제,010-4345-8884
80668,[경주] 엑스포대공원+자동차박물관 즐길거리 패키지,054-748-3011
80670,[경남 통영] 디피랑 입장권,1544-3303
80671,[경기 고양] 일산 아쿠아플라넷 특가,1661-1063
80672,[강원 원주] 강원투어패스 원주1+1(~3/19),070-8845-9990
80673,[평창] 무이 얼음 썰매장,033-335-4118
80674,[경남 통영]  어드벤처타워 이용권,1544-3303
80675,[충남 천안] 히어로 플레이파크(~1/31),041-903-2233
80677,[경남 통영]  VR존 이용권,055-643-9450
80678,[특가★] 용인 에버랜드 종일이용권 (~2/28),031-320-5000
80679,[특가★] 용인 에버랜드 오후이용권 (~2/28),031-320-5000
80681,[서울 영등포] 이랜드크루즈 별빛크루즈 1+1(2인) 탑승권 (1~2월),02-6291-6900
80736,[서울 영등포] 주렁주렁 타임스퀘어점 나이트사파리,1661-1063
80740,[서울 송파] 서울스카이 1월 특가,1661-2000
80741,[서울/부산] 키자니아 어린이 체험테마파크 1월 특가,1544-5110
80742,[경기 이천] 테르메덴 풀앤스파 하이시즌 특가(~02/28),031-645-2000
80743,[경기 이천] 테르메덴 풀앤스파 하이시즌 특가(~02/28),031-645-2000
80744,[서울/부산] 키자니아 어린이 체험테마파크 1월 특가,1544-5110
80745,[서울 송파] 롯데월드 어드벤처 1월 특가,1661-1063
80746,[카모아] 내륙 렌터카 할인권 이벤트,1544-5344
80747,[카모아] 제주 렌터카 할인권,1544-5344
80748,[제주] [카모아] 제주 렌터카 할인권 이벤트,1544-5344
80749,[야놀자라이브★] 비발디파크 스노위랜드 종일권&After13,1588-4888
80750,[야놀자라이브★] 비발디파크 21/22시즌 리프트권&리프트+렌탈권,1588-4888
80751,[서울 영등포] 아쿠아플라넷 63+에릭요한슨 사진전 특가,1833-7001
80752,[경기 포천] 21/22 베어스타운 야간리프트+렌탈+핫초코1잔 PKG 특가★,031-540-5000
80753,[전남 여수] 아쿠아플라넷 여수 특가,02-413-0045
80754,[경남 통영] big2/big3 패키지이용권,055-643-9450
80756,[대구 달서] 이월드 자유이용권 1월 특가,053-620-0001
80757,[전남 여수] 아이뮤지엄 (~2023/12),061-665-9808~9
80758,[신세계 이마트] 신세계이마트 5만원 상품권 교환권,1644-5095
80759,[강원 평창] 휘닉스평창 스노우파크 ALL DAY PASS 리프트권 특가,1577-0069
80760,[경남 통영] 디피랑 + 더 카트인 통영 PKG,055-648-9861
80761,[서울/부산] 특가★키자니아 The BLACK/BLUE 멤버십,1544-5110
80762,[단양]패러글라이딩 투고,010-3332-2226
80768,[특가★] 용인 에버랜드 종일이용권 (~2/28),031-320-5000
80769,[김해] 롯데워터파크 로우시즌 1월 특가(~2/13),1661-2000
80770,[김해] 롯데워터파크 로우시즌 1월 특가(~2/13),1661-2000
80771,[전남 여수] 여수 눈썰매장+아쿠아플라넷 여수,02-413-0045
80772,[제주] 2월22일,010-6850-9095
80773,[제주 서귀포] 12제라카페,010-4468-9288
80774,[제주] J1카트클럽 패키지 제이원카트,064-805-8060
80775,[제주 구좌] 김녕요트투어 : 요트체험,064-782-5271~3
80776,[전남 여수] 아쿠아플라넷 여수+여수지역/블루요트 PKG,02-413-0045
80777,[제주 서귀포] 까르페디엠,064-733-2200
80778,[제주] J1카트클럽 알파카 먹이주기 체험 제이원카트,064-805-8060
80779,[충남 천안] 오션어드벤처 2인/4인 종일권 특가,1588-4888
80780,[제주] J1카트클럽 양궁13발 제이원카트,064-805-8060
80781,[특가★] 포천 베어스타운 리프트권,031-540-5000
80782,[제주] J1카트클럽 주간 제이원카트,064-805-8060
80783,[제주 서귀포] 성산포유람선,064-782-0012
80784,[남산] N서울타워 전망대 이용권 (1/15~2/28),02-3455-9277
80785,[남산] N서울타워 전망대 이용권 (1/15~2/28),02-3455-9277
80801,[충남 아산] 파라다이스 스파도고 특가  (~2/28),041-537-7100
80802,[남산] N서울타워 연간멤버쉽 (유효기간2022/1/15~2023/1/31),02-3455-9277
80803,[남산] N서울타워 연간멤버쉽 (유효기간2022/1/15~2023/1/31),02-3455-9277
80804,[남산] N서울타워 전망대+더플레이스 다이닝 패키지,02-3455-9277
80805,[남산] N서울타워 전망대+더플레이스 다이닝 패키지,02-3455-9277
80806,[포천] 21/22 베어스타운 스키장 라스트시즌권  특가,031-540-5136
80807,[남산] N서울타워 N버거/제일제면소 식사패키지 (~7/31),02-3455-9277
80808,[남산] N서울타워 N버거/제일제면소 식사패키지(~07/31),02-3455-9277
80810,[강원 삼척] 강원투어패스 삼척1+1(~3/19),070-8845-9990
80811,[전남 여수] 미남크루즈+아이뮤지엄 PKG,1533-6256
80812,[경기 고양] 공룡대탐험 DINO PARK,02-456-2014
80866,[경기 과천] 서울랜드 연간권 특가,02-509-6000
80867,[경기 용인] 에버랜드 종일이용권 특가★(~2/28),031-320-5000
80868,[전남 여수] 아쿠아플라넷 여수 특가,02-413-0045
80869,[경기 용인] 양지파인리조트 눈썰매장,02-456-2014
80871,[경기 이천] 테르메덴 풀앤스파 하이시즌 특가(~02/28),031-645-2000
80874,[경기 용인] ★특가★ 에버랜드 오후이용권(~2/28),031-320-5000
80875,[김해] 롯데워터파크 로우시즌 1월 특가(~2/20),1661-2000
80876,[김해] 롯데워터파크 로우시즌 1월 특가(~2/20),1661-2000
80881,[경북/ 울릉도] 울릉도 전기오토바이 & 전기자전거,010-9789-8226
80882,[경기 부천] 웅진플레이도시 워터파크&스파(~3/1),1577-5773
80883,[제주 서귀포] 왕감귤체험농장,010-4939-5251
80884,[전남 여수] 녹테마레 특가★ (~4/30),1544-3913
80885,[평택] 헬로마이디노 키즈카페,031-630-2808
80886,[인천] 파라다이스시티 씨메르 아쿠아스파(2/1~2/28),032-729-7700
80887,[인천] 파라다이스시티 씨메르 찜질스파(2/1~2/28),032-729-7700
80888,[인천] 파라다이스시티 원더박스 이용권(2/1~2/28),032-729-7700
80889,[제주 서귀포] 아쿠아플라넷 제주 특가,1833-7001
80890,[남산] N서울타워 전망대 이용권 특가,02-3455-9277
80891,[4개지점] 아쿠아필드 1월 찜질스파 특가(~2/28),031-8072-8800
80892,[충남 예산] 리솜 덕산스플라스 특가★ (~2/28),041-330-8000
80893,[대구] 대구 아쿠아리움 After 5 입장권 (~2/28),053-247-8899
80894,[3개지점] 아쿠아필드 1월 워터파크 특가(~2/28),031-8072-8800
80897,[남산] N서울타워 전망대 이용권 특가,02-3455-9277
80898,[남산] N서울타워 전망대 이용권 특가,02-3455-9277
80899,[경기 용인] ★특가★ 에버랜드 종일이용권(~2/28),031-320-5000
80900,[경기 용인] 아이뮤지엄 명화전[클로드 모네]+동화전 무료 입장,070-4124-9808~9
80901,[부산 해운대] 부산 보트앤 요트투어 특가,1833-8047
80902,[충남 천안] 히어로 플레이파크(~2/28),041-903-2233
80903,[특가★] 코엑스아쿠아리움 오전/오후권,02-700-7200
80904,[강원 평창] 21/22시즌 휘닉스 평창 스프링 시즌권 S시즌패스,02-6925-3193
80905,[제주 서귀포] 환상의짜장,064-792-0958
80906,[제주 서귀포] 해비치호텔앤리조트 섬모라 중식뷔페,064-780-8322
80907,[제주 서귀포] 해비치호텔앤리조트 하노루,064-780-8322
80908,[제주 서귀포] 해비치호텔앤리조트 이디 조식뷔페,064-780-8314
80909,[제주 서귀포] 해비치호텔앤리조트 섬모라 디너뷔페,064-780-8322
80910,[제주 서귀포] 해비치호텔앤리조트 섬모라 조식뷔페,064-780-8322
80911,[경기 이천] 테르메덴 풀앤스파 하이시즌 특가(~02/28),031-645-2000
80912,[경기 이천] 테르메덴 풀앤스파 하이시즌 특가(~02/28),031-645-2000
80913,[제주 서귀포] 카페델보스케,010-4239-4364
80914,[제주 대정] 하모해양레저,010-2980-5105
80915,[제주 서귀포] 카페영모루,010-4055-1989
80916,[경남 통영] 스카이라인 루지 통영 특가,1522-2468
80917,[경남 통영] big2/big3 패키지이용권 특가,055-643-9450
80918,[경남 통영] 통영케이블카 특가,1544-3303
80968,[경남 통영] 디피랑 입장권 특가,1544-3303
80970,[경기 일산] 오징어파크 일반권 (2/1~3/1),1566-2232
80971,[서울 송파] 롯데월드 어드벤처 종합이용권 2월,1661-1063
80972,[서울 송파] 롯데월드 어드벤처 회전목마 인생사진 PKG 2월,02-1661-2000
80973,[경기 일산] 오징어파크 다인권 (2/1~3/1),1566-2232
80974,[김해] 롯데워터파크 로우시즌 주중 이용권(02/01~03/01),1661-2000
80975,[서울 삼성] 코엑스아쿠아리움 무제한 이용권 2월,02-700-7200
80976,[대구 달서] 이월드 83타워 전망대&아이스링크 PKG 2월,053-620-0001
80982,[경기 용인] ★특가★ 에버랜드 종일이용권(~2/28),031-320-5000
80983,[서울 송파] 롯데월드 아쿠아리움 2월,1661-1063
80984,[충북] 제천 해브나인 스파(~2/28),043-649-6014
80985,[서울 송파] 롯데월드 아쿠아리움 연간 마린프렌즈권 2월,1661-2000
80986,[단독특가★]비발디파크 리프트권 & 스노위랜드,1588-4888
80987,[강원 평창] 21/22용평리조트 스프링시즌권,02-6925-3193
80988,[남산] N서울타워 전망대 이용권 특가,02-3455-9277
80989,[강원 원주] 오크밸리 21/22 스키 리프트권 & 세트권 특가,02-413-0045
81022,[여수] 미남크루즈+카페너울 PKG 2월 특가,1533-6256
81026,[서울 송파] 롯데월드 별밤 아쿠아리움 2월,1661-1063
81027,[충남 예산] 덕산스플라스 (~2/28),041-330-8000
81028,[여수] 미남크루즈+카페너울 PKG 2월,1533-6256
81029,[여수] 미남크루즈 해상/야경/불꽃 투어 2월,1533-6256
81030,[경기 용인] ★특가★ 에버랜드 오후이용권(~2/28),031-320-5000
81031,[충남 태안] 아일랜드 리솜 오아식스 선셋스파(~2/28),041-671-7060
81032,[경기 용인] ★특가★ 에버랜드 종일이용권(~2/28),031-320-5000
81033,[대구 달서] 이월드 자유이용권 2월,053-620-0001
81034,[경기 수원] 광교 아쿠아플라넷 2월,1833-7001
81035,[전국] 9개점 코코몽키즈랜드 키즈카페 2월,02-2157-5718
81036,[경기 용인] 에버랜드 오후이용권(방문날짜 지정) (22/2/1~2/28),031-320-5000
81037,[경기 용인] 에버랜드 종일이용권(방문날짜 지정) (22/2/1~2/28),031-320-5000
81038,[경기 용인] ★특가★ 에버랜드 종일이용권 (~2/28),031-320-5000
81039,[경기 용인] ★특가★ 에버랜드 종일이용권 (~2/28),031-320-5000
81040,[서울/부산] 특가★키자니아 The BLACK/BLUE 멤버십,1544-5110
81041,[서울 송파] 롯데월드 아쿠아리움+서울스카이 PKG 2월,1661-1063
81042,[대구 달서] 이월드 연간회원권 2월,053-620-0001
81043,[강원 춘천] 강촌 레저클럽 ATV/ 카트/ 서바이벌,010-5683-3731
81044,[서울 송파] 서울스카이 입장권 2월,1661-2000
81045,[서울 송파] 서울스카이 주야권 2월,1661-2000
81046,[강원 평창] 알펜시아 리프트권 2월,033-339-0318
81048,[강원 고성] 델피노 오션플레이 미들시즌 종일권,1588-4888
81049,[서울 송파] 롯데월드 어드벤처 연간그린권 2월 특가,02-509-6000
81050,[전북 전주] 전주한옥마을 한복대여 한복길,010-9255-1739
81051,[부산 해운대] 부산 엑스 더 스카이,051-731-0098
81052,[강원 동해] 동해보양온천(~3/31),033-530-0700
81053,[부산 해운대] 부산 보트앤 요트투어 특가,1833-8047
81054,[부산 해운대] 부산 보트앤 요트투어 특가,1833-8047
81055,[전국] 플레이맘 키즈카페 6개점,031-207-7327
81056,[야놀자라이브★] 아쿠아필드&스파랜드 찜질스파(~3/31),031-8072-8800
81057,[경기 과천] 서울랜드 종일권,02-509-6000
81058,[경기 과천] 서울랜드 어린이권 특가,02-509-6000
81059,[경기 과천] 서울랜드 After2,02-509-6000
81060,[경기 과천] 서울랜드 After4,02-509-6000
81061,[경기 과천] 서울랜드 After4 입장권 특가,02-509-6000
81062,[김해] 롯데워터파크 로우시즌 주말 이용권(02/01~03/01),1661-2000
81063,[야놀자라이브★] 아쿠아필드 워터파크(~3/31),031-8072-8800
81064,"[용인] 에버랜드 화,수,목 종일이용권 (방문날짜 지정) (~2/28)",031-320-5000
81065,[경기 안성] 안성팜랜드 2월,031-8053-7979
81066,[대구 동구] 대구아쿠아리움 자유이용권,053-247-8899
81067,[대구 동구] 대구아쿠아리움 입장권,053-247-8899
81068,[경기 용인] 한국민속촌 자유이용권 (~2/6),031-288-0000
81069,[대구 동구] 대구 아쿠아리움 연간이용권,053-247-8899
81071,[전남 여수] 여수 웅천 메가박스+제휴PC방,02-413-0045
81072,[찜카] 전국 렌터카 : 내륙 할인권,1644-1346
81073,[찜카] 전국 렌터카 : 제주 할인권,1644-1346
81074,[남산] N서울타워 전망대 이용권,02-3455-9277
81075,[남산] N서울타워 전망대 이용권,02-3455-9277
81076,[제주 서귀포] 빛의벙커(02/01~02/28),1544-2653
81077,[전남 여수] 여수예술랜드 짚코스터/카트체험,061-665-0000
81078,[서울/부산] 키자니아 어린이 체험테마파크 2월 상시,1544-5110
81079,[충북 증평] 벨포레 익스트림 루지,043-926-1011
81080,[전국] 펀토리하우스 5개점 (~2/28),032-321-3282
81081,[남산] N서울타워 연간멤버쉽 (유효기간~2023/2/28),02-3455-9277
81082,[경북 경주] 경주월드 2월 상시딜,1644-1026
81083,[충북 증평] 벨포레 사계절 썰매장(~2/28),043-926-1001~3
81084,[남산] N서울타워 연간멤버쉽 (유효기간~2023/2/28),02-3455-9277
81085,[충북 증평] 벨포레 목장(~2/28),043-926-1033
81086,[충북 증평] 벨포레 디노시네마(~2/28),043-926-1000
81138,"[서울 송파] ★얼리버드 특가★ 알렉스 프레거, 빅웨스트",010-4816-3555
81145,[김해] 롯데워터파크 로우시즌 2월 특가(~03/01)★,1661-2000
81146,[통영] 더카트인통영 카트이용권,055-648-2022
81149,[강원 평창] 용평리조트스키장 포인트스키 스키 & 보드 렌탈샵,010-3717-8153
81202,[강원 속초] 한화 설악워터피아 동계 하이시즌(~03/01),033-630-5800
81203,[서울 송파] 롯데월드 아쿠아리움 연간 마린프렌즈권 2월,1661-2000
81204,[특가★] 용인 한국민속촌 자유이용권,031-288-0000
81205,[서울/부산] 키자니아 어린이 체험테마파크 2월 특가,1544-5110
81206,[강원 속초] 한화 설악워터피아 나이트스파(~03/01),033-630-5800
81209,[진주] 피어리스 미디어 아트뮤지엄,055-763-7002
81211,[제주] 쇠소깍 산물 관광농원,064-767-9953
81212,[충남 예산] ★특가★ 덕산스플라스 (~2/28),041-330-8000
81216,[서울/부산] 키자니아 어린이 체험테마파크 2월 특가,1544-5110
81217,[서울 송파] 롯데월드 어드벤처 2월 특가,1661-1063
81218,[경기 이천] 테르메덴 풀앤스파 하이시즌 커플권 특가(~03/01),031-645-2000
81219,[충남 아산] 파라다이스 스파도고 특가  (~2/28),041-537-7100
81220,[경기 용인] 에버랜드 종일이용권 한정특가 (~2/28),031-320-5000
81223,[대구 달서] 이월드 자유이용권 2월 특가,053-620-0001
81224,[부산] 부산 다이아몬드 타워 특가,051-601-1800
81225,[경기 용인] 에버랜드 대인+소인 종일권(방문날짜 지정) (~2/28),031-320-5000
81226,[경기 용인] 에버랜드 2/3인종일권(방문날짜 지정) (~2/28),031-320-5000
81227,[제주] 정크아트 서프라이즈 테마파크,064-783-7272
81228,[경기 용인] 에버랜드 2인종일권+츄러스1개증정(방문날짜 지정) (~2/28),031-320-5000
81229,[경기 용인] 에버랜드 2인종일권+츄러스1개증정(방문날짜 지정) (~2/28),031-320-5000
81230,[경기 용인] 에버랜드 대인+소인 종일권(방문날짜 지정) (~2/28),031-320-5000
81231,[경기 용인] 에버랜드 2/3인종일권(방문날짜 지정) (~2/28),031-320-5000
81232,[경기 용인] 에버랜드 2/3인종일권(방문날짜 지정) (~2/28),031-320-5000
81233,[경기 용인] 에버랜드 2/3인종일권(방문날짜 지정) (~2/28),031-320-5000
81234,[부산 해운대] 부산 엑스더스카이 + 소망비행기,"051-731-0098,0099"
81240,[부산 해운대] 부산 엑스더스카이 + 스타벅스 PKG,"051-731-0098,0099"
81241,[대구 달서] 이월드 연간회원권 2월 특가,053-620-0001
81242,[경기 과천] 서울랜드 연간권 2차 기간한정 판매,02-509-6000
81243,[경기 용인] 한국민속촌 자유이용권 (~3/31),031-288-0000
81246,[제주 구좌] 제주이야기 송당점,064-782-6676
81249,[제주 구좌] 송당승마장 승마체험장,064-782-1199
81252,[경기 동탄] 아르티스테마파크,0507-1310-4028
81261,[봄맞이스페셜] 오션플레이 변산 종일권,1588-4888
81262,[경기 용인] ★특가★ 에버랜드 종일이용권 1+1 (~3/18),031-320-5000
81321,[제주] 오늘은 카트레이싱 카트 체험,064-787-9990
81325,[경기 용인] 에버랜드 대인+소인 종일권(방문날짜 지정) (~2/28),031-320-5000
81326,[경기 이천] 이천 테르메덴 풀앤스파 하이시즌 특가(~03/01),031-645-2000
81327,[서울 송파] 프라이빗 실내 배드민턴 레슨 잠실새내점,02-417-4209
81328,[경기 동탄] 주렁주렁 동탄 라크몽점 얼리버드 특가,1661-1063
81329,[경기 용인] 로만바스 평일 온천이용권 (~4/30),031-335-1118
81330,[강원 속초] 한화 설악워터피아 동계 하이시즌 특가(~05/31),033-630-5800
81331,[경북 문경] 문경 레일바이크 (~4/30),054-471-4200
81332,[전남 순천] 예술의성 테마파크,061-741-8005
81333,[충남 아산] 아산 파라다이스스파도고 (3/1~3/27),041-537-7100
81365,"[전남 여수] 3월 오픈특가, 여수테디베어뮤지엄(3/4~3/31)",061-808-5151
81366,[야놀자라이브★] 제주투어패스 프리패스권,1522-2089
81368,[충남 천안] 오션어드벤처 2인/4인 종일권 특가,1588-4888
81369,[김해] 롯데워터파크 로우시즌 2월 특가(~03/01)★,1661-2000
81370,[경기 용인] 에버랜드 종일이용권 한정특가 (~2/28),031-320-5000
81371,[강원 양양] 오색탄산온천(~04/30),033-670-1000
81372,[대구 달서] 수목원 생활온천,053-641-0100
81373,[경기 이천] 테르메덴 풀앤스파 하이시즌 특가(~03/01),031-645-2000
81374,[경기 이천] 테르메덴 풀앤스파 하이시즌 특가(~03/01),031-645-2000
81375,[제주] 아르떼뮤지엄,1899-5008
81376,"[서울] 어느봄날, 테레사 프레이타스 사진전",02-767-2233
81377,[경기 동탄] 주렁주렁 동탄 라크몽점 상시,1661-1063
81484,[경기 광명] 광명동굴 (~4/30),070-4277-8902
81485,[충남 태안] 2022 태안 세계 튤립 꽃박람회 얼리버드,041-675-5533
81486,[김포] 최초 동물원 몬스터리움,070-4466-9601
81487,[남산] N서울타워 전망대 / 패키지 특가,02-3455-9277
81488,[파주] 사파리체험테마파크 (~4/30),031-946-6656
81489,[여수] 미남크루즈 해상/야경/불꽃 투어 3월-4월,1533-6256
81490,[경기 용인] 에버랜드 종일이용권(방문날짜 지정) (22/3/1~3/31),031-320-5000
81491,[용인] 에버랜드 종일이용권(3/1~3/31),031-320-5000
81492,[★단독] 대구 이월드 커플이용권 특가,053-620-0001
81493,[경기 용인] 에버랜드 2/3인 종일권(방문날짜지정) (3/1~3/31),031-320-5000
81494,[서울 여의도] 이랜드크루즈 한강투어크루즈 1+1(2인) 탑승권 (3~4월),02-6291-6900
81495,[경기 용인] 에버랜드 오후이용권(방문날짜 지정) (22/3/1~3/31),031-320-5000
81496,"[용인] 에버랜드 화,수,목 종일이용권(방문날짜지정)(3/1~3/31)",031-320-5000
81502,[신세계 이마트] 신세계이마트 5만원 상품권 교환권,1644-5095
81528,[경기 용인] ★특가★ 에버랜드 종일이용권 (~3/18),031-320-5000
81529,[강원 춘천] 강촌 ATV 북청대여점,033-261-2697
81530,[강원 홍천] 오션월드+리프트권+스노위랜드 2in1 특가,1588-4888
81532,[★특가] 롯데월드 아쿠아리움 (~03/20),1661-1063
81533,[★특가] 롯데월드 어드벤처 자유이용권 (~03/20),1661-1063
81534,[용인] 에버랜드 2인종일권+츄러스1개증정(방문날짜 지정) (~3/18),031-320-5000
81535,[용인] 에버랜드 2인종일권+츄러스1개증정(방문날짜 지정) (~3/18),031-320-5000
81536,[용인] 에버랜드 2인종일권+츄러스1개증정(방문날짜 지정) (~3/18),031-320-5000
81537,[대구 달서] 이월드 자유이용권 3월,053-620-0001
81538,[경기 오산] 오산 버드파크(~4/30),031-935-5757
81539,[경북 경주] 경주 버드파크 (~4/30),054-777-7200
81540,[경기 가평] 캠프통 포레스트 C그라운드 이용권 특가,031-584-6000
81541,[대구 달서] 이월드 연간회원권 3월,053-620-0001
81542,[경주] 특가★ 뽀로로아쿠아빌리지 행복요금제(~3/31),054-777-8300
81543,[야놀자라이브★] 제주전용 렌터카 : 이벤트 할인권,1644-1346
81544,[전국] 펀토리하우스 3개점 (~4/30),031-5174-7611
81546,[경기 파주] 헤이리 아지동 한국스토리 뮤지엄,02-456-2014
81547,[대구]네이처파크+[대구]아쿠아리움 패키지 이용권,1688-8511
81548,[경기 여주] 여주 쎈토이박물관,031-885-3750
81549,[대구 달서] 이월드 83타워 전망대&아이스링크 PKG 3월,053-620-0001
81550,[통합딜] [용인] 에버랜드 이용권(3/1~3/31),031-320-5000
